date,store_name,product_id,product_name,category,units_sold,units_ordered,price,discount_pct,revenue,weather,season,demand_level,promotion,is_holiday,festival
2020-01-02,DMart,STA018,Stationery Item 18,stationery,32,40,560.28,10.73,17928.96,hot,winter,medium,0,0,New Year
2020-01-07,DMart,BEV017,Beverage Item 17,beverages,146,174,206.53,0.0,30153.38,hot,winter,high,1,0,New Year
2020-01-11,DMart,HTX002,Home Textile 2,home_textiles,8,10,3408.76,0.0,27270.08,rainy,winter,medium,0,1,Unknown
2020-01-15,DMart,BEA013,Beauty Item 13,beauty,13,16,1945.18,0.87,25287.34,humid,winter,medium,0,0,New Year
2020-01-23,DMart,FTW002,Footwear Item 2,footwear,4,4,1641.18,9.95,6564.72,rainy,winter,low,0,0,Unknown
2020-01-25,DMart,MAK004,Makeup Item 4,makeup,5,6,2413.12,15.22,12065.6,stormy,winter,low,0,0,Unknown
2020-02-02,DMart,TOY009,Toy 9,toys,24,25,1043.95,0.0,25054.8,rainy,winter,medium,1,0,Unknown
2020-02-08,DMart,CLO001,Clothing Item 1,clothing,11,12,1251.95,3.2,13771.45,sunny,winter,medium,0,0,Unknown
2020-02-09,DMart,BEV019,Beverage Item 19,beverages,450,462,33.83,11.83,15223.5,cold,winter,medium,0,0,Unknown
2020-02-11,DMart,SWT008,Sweets Item 8,sweets,91,110,191.14,4.08,17393.74,sunny,winter,medium,0,1,Unknown
2020-02-20,DMart,SWT010,Sweets Item 10,sweets,51,56,505.73,10.45,25792.23,cool,winter,medium,0,0,Valentine's Day
2020-02-21,DMart,HTX002,Home Textile 2,home_textiles,9,9,2924.26,13.13,26318.34,sunny,winter,medium,0,1,Unknown
2020-02-27,DMart,TOY009,Toy 9,toys,5,5,1040.74,4.54,5203.7,sunny,winter,low,0,0,Unknown
2020-03-11,DMart,STA018,Stationery Item 18,stationery,32,33,614.0,0.0,19648.0,cold,summer,medium,1,0,Unknown
2020-03-20,DMart,TRA004,Travel Item 4,travel_accessories,19,20,970.05,6.97,18430.95,sunny,summer,medium,0,0,Unknown
2020-03-21,DMart,BEV010,Beverage Item 10,beverages,132,161,222.51,6.68,29371.32,cool,summer,high,0,1,Holi
2020-03-24,DMart,VEG006,Veg Item 6,vegetables,476,559,37.82,6.69,18002.32,hot,summer,medium,0,0,Holi
2020-04-06,DMart,ELE025,Electronics Item 25,electronics,7,8,29256.73,8.51,204797.11,cool,summer,medium,1,0,Unknown
2020-04-10,DMart,VEG006,Veg Item 6,vegetables,553,610,31.75,13.45,17557.75,stormy,summer,medium,0,0,Ram Navami
2020-04-11,DMart,FTW009,Footwear Item 9,footwear,4,4,1720.01,7.69,6880.04,humid,summer,low,0,0,Unknown
2020-04-15,DMart,TOY003,Toy 3,toys,5,6,1296.71,2.39,6483.55,cool,summer,low,0,0,Unknown
2020-04-20,DMart,ELE020,Electronics Item 20,electronics,2,2,13779.56,0.0,27559.12,rainy,summer,medium,0,0,Unknown
2020-04-21,DMart,BEA007,Beauty Item 7,beauty,108,123,170.71,5.45,18436.68,cool,summer,medium,0,0,Ram Navami
2020-04-23,DMart,BEA006,Beauty Item 6,beauty,13,16,762.04,8.57,9906.52,humid,summer,low,0,0,Unknown
2020-04-27,DMart,MAK003,Makeup Item 3,makeup,87,96,222.72,5.49,19376.64,cold,summer,medium,0,0,Ram Navami
2020-04-28,DMart,HTX006,Home Textile 6,home_textiles,2,3,5416.64,8.53,10833.28,sunny,summer,medium,1,0,Unknown
2020-05-07,DMart,HTX007,Home Textile 7,home_textiles,1,2,3349.04,9.64,3349.04,rainy,summer,low,0,0,Unknown
2020-05-13,DMart,TRA005,Travel Item 5,travel_accessories,8,8,1914.81,13.75,15318.48,cool,summer,medium,0,0,Unknown
2020-05-27,DMart,TRA007,Travel Item 7,travel_accessories,9,11,1454.84,7.18,13093.56,hot,summer,medium,0,0,Unknown
2020-06-05,DMart,FTW003,Footwear Item 3,footwear,28,29,540.15,0.0,15124.2,hot,monsoon,medium,0,0,Unknown
2020-06-07,DMart,FTW009,Footwear Item 9,footwear,4,4,1785.55,0.0,7142.2,humid,monsoon,medium,0,0,Unknown
2020-06-11,DMart,STA019,Stationery Item 19,stationery,29,36,418.29,0.93,12130.41,cool,monsoon,low,0,1,Unknown
2020-06-12,DMart,VEG006,Veg Item 6,vegetables,430,548,38.01,0.0,16344.3,stormy,monsoon,medium,0,0,Unknown
2020-06-13,DMart,VEG014,Veg Item 14,vegetables,964,1113,24.81,3.26,23916.84,humid,monsoon,medium,1,0,Unknown
2020-06-17,DMart,VEG008,Veg Item 8,vegetables,436,458,39.29,5.47,17130.44,stormy,monsoon,medium,0,0,Unknown
2020-06-20,DMart,FTW006,Footwear Item 6,footwear,19,19,1170.01,13.4,22230.19,cool,monsoon,medium,0,0,Unknown
2020-06-29,DMart,SWT002,Sweets Item 2,sweets,56,69,246.27,6.97,13791.12,sunny,monsoon,medium,1,0,Unknown
2020-06-30,DMart,FTW005,Footwear Item 5,footwear,2,2,3677.52,6.39,7355.04,rainy,monsoon,medium,0,0,Unknown
2020-07-05,DMart,HAP007,Home Appliance 7,home_appliances,6,6,21528.6,1.44,129171.6,sunny,monsoon,medium,0,0,Unknown
2020-07-08,DMart,VEG010,Veg Item 10,vegetables,415,463,38.26,5.2,15877.9,stormy,monsoon,medium,0,0,Unknown
2020-07-24,DMart,HAP011,Home Appliance 11,home_appliances,2,3,34128.12,13.45,68256.24,sunny,monsoon,medium,0,0,Unknown
2020-07-24,DMart,VEG002,Veg Item 2,vegetables,315,344,44.92,3.12,14149.8,sunny,monsoon,medium,0,0,Unknown
2020-07-27,DMart,VEG005,Veg Item 5,vegetables,525,608,28.04,0.0,14721.0,rainy,monsoon,medium,0,0,Unknown
2020-07-29,DMart,VEG007,Veg Item 7,vegetables,366,420,49.16,5.15,17992.56,stormy,monsoon,medium,0,0,Unknown
2020-08-01,DMart,GROC008,Groceries Item 8,groceries,190,190,52.61,0.92,9995.9,humid,monsoon,low,0,0,Unknown
2020-08-07,DMart,BEV004,Beverage Item 4,beverages,295,365,67.0,8.14,19765.0,sunny,monsoon,medium,0,1,Unknown
2020-08-11,DMart,CLO020,Clothing Item 20,clothing,29,32,370.21,3.09,10736.09,cold,monsoon,low,0,0,Unknown
2020-09-01,DMart,FTW008,Footwear Item 8,footwear,7,8,1877.65,4.84,13143.55,sunny,monsoon,medium,0,0,Unknown
2020-09-03,DMart,GROC021,Groceries Item 21,groceries,29,33,329.34,0.0,9550.86,stormy,monsoon,low,0,0,Unknown
2020-09-12,DMart,BEV017,Beverage Item 17,beverages,79,92,169.6,17.93,13398.4,hot,monsoon,medium,0,0,Unknown
2020-09-20,DMart,BEV017,Beverage Item 17,beverages,124,138,195.84,0.0,24284.16,stormy,monsoon,medium,0,0,Ganesh Chaturthi
2020-09-24,DMart,VEG018,Veg Item 18,vegetables,1101,1400,25.4,0.0,27965.4,sunny,monsoon,high,1,1,Unknown
2020-10-08,DMart,BEA008,Beauty Item 8,beauty,12,15,2072.49,0.0,24869.88,sunny,autumn,medium,0,0,Dussehra
2020-10-08,DMart,MAK004,Makeup Item 4,makeup,7,8,3004.07,0.0,21028.49,cool,autumn,medium,1,0,Unknown
2020-10-09,DMart,SWT009,Sweets Item 9,sweets,23,27,664.43,1.86,15281.89,rainy,autumn,medium,0,0,Unknown
2020-10-11,DMart,FTW008,Footwear Item 8,footwear,9,10,2128.36,0.0,19155.24,humid,autumn,medium,0,0,Dussehra
2020-10-13,DMart,CLO029,Clothing Item 29,clothing,15,18,1478.33,10.7,22174.95,sunny,autumn,medium,0,0,Dussehra
